time,psibdx,psivdx,lonx,latx,alt,dvbe,thtvdx,VBED1,VBED2,VBED3
29.5,-179.678,-179.772,-120.49,34.6199,7308.47,689.325,42.6045,-507.369,-2.02092,-466.627
30,-179.668,-179.762,-120.49,34.6175,7543.16,703.376,42.1636,-521.36,-2.16933,-472.141
30.5,-179.66,-179.752,-120.49,34.6152,7780.61,717.566,41.7333,-535.48,-2.32147,-477.658
31,-179.655,-179.742,-120.49,34.6127,8020.82,731.9,41.3171,-549.701,-2.47597,-483.219
31.5,-179.652,-179.733,-120.49,34.6102,8263.84,746.382,40.9183,-563.994,-2.63137,-488.867
32,-179.652,-179.724,-120.49,34.6076,8509.71,761.018,40.5402,-578.329,-2.78612,-494.647
32.5,-179.655,-179.716,-120.49,34.605,8758.51,775.808,40.1845,-592.687,-2.93909,-500.591
33,-179.661,-179.709,-120.49,34.6023,9010.33,790.754,39.8547,-607.032,-3.08838,-506.748
33.5,-179.669,-179.702,-120.49,34.5995,9265.3,805.85,39.5582,-621.284,-3.22978,-513.215
34,-179.681,-179.696,-120.49,34.5967,9523.57,821.117,39.283,-635.559,-3.36778,-519.891
34.5,-179.7,-179.691,-120.49,34.5938,9785.22,836.565,39.0253,-649.892,-3.50333,-526.754
35,-179.72,-179.686,-120.49,34.5909,10050.3,852.199,38.7842,-664.288,-3.635,-533.808
35.5,-179.737,-179.682,-120.49,34.5878,10319.1,868.027,38.5609,-678.741,-3.76154,-541.081
36,-179.749,-179.679,-120.49,34.5848,10591.5,884.065,38.3628,-693.182,-3.87794,-548.685
36.5,-179.757,-179.677,-120.49,34.5816,10867.8,900.306,38.1799,-707.696,-3.98902,-556.508
37,-179.761,-179.675,-120.49,34.5784,11148,916.743,38.0062,-722.33,-4.09786,-564.482
37.5,-179.759,-179.673,-120.49,34.5751,11432.3,933.403,37.8368,-737.154,-4.20755,-572.562
38,-179.753,-179.671,-120.49,34.5718,11720.6,950.297,37.6669,-752.221,-4.32111,-580.697
38.5,-179.742,-179.668,-120.49,34.5683,12012.9,967.431,37.4921,-767.583,-4.44178,-588.828
39,-179.726,-179.665,-120.49,34.5649,12309.4,984.81,37.307,-783.304,-4.57391,-596.88
39.5,-179.704,-179.662,-120.491,34.5613,12609.8,1002.44,37.1066,-799.446,-4.72254,-604.772
40,-179.677,-179.657,-120.491,34.5577,12914.1,1020.33,36.9,-815.93,-4.88123,-612.629
40.5,-179.64,-179.652,-120.491,34.554,13222.4,1038.5,36.6859,-832.78,-5.05238,-620.429
41,-179.602,-179.647,-120.491,34.5502,13534.5,1056.94,36.4647,-850,-5.23877,-628.17
41.5,-179.57,-179.641,-120.491,34.5463,13850.6,1075.67,36.2379,-867.583,-5.44008,-635.869
42,-179.545,-179.634,-120.491,34.5424,14170.4,1094.69,35.9989,-885.616,-5.66404,-643.424
42.5,-179.526,-179.626,-120.491,34.5383,14494,1114.01,35.7545,-904.029,-5.90444,-650.929
43,-179.514,-179.618,-120.491,34.5342,14821.3,1133.63,35.5099,-922.772,-6.15595,-658.462
43.5,-179.509,-179.61,-120.491,34.53,15152.4,1153.56,35.2692,-941.804,-6.41402,-666.089
44,-179.51,-179.602,-120.491,34.5258,15487.4,1173.82,35.036,-961.089,-6.67401,-673.877
44.5,-179.517,-179.595,-120.491,34.5214,15826.3,1194.4,34.8144,-980.58,-6.93035,-681.905
45,-179.532,-179.589,-120.491,34.5169,16169.4,1215.3,34.6093,-1000.22,-7.17614,-690.264
45.5,-179.553,-179.583,-120.491,34.5124,16516.6,1236.55,34.4146,-1020.09,-7.41826,-698.869
46,-179.582,-179.578,-120.491,34.5078,16868.3,1258.14,34.2315,-1040.16,-7.65459,-707.751
46.5,-179.614,-179.574,-120.491,34.5031,17224.4,1280.08,34.0606,-1060.44,-7.88247,-716.933
47,-179.639,-179.57,-120.491,34.4982,17585.2,1302.37,33.9002,-1080.95,-8.10319,-726.395
47.5,-179.656,-179.567,-120.491,34.4933,17950.8,1325.03,33.7485,-1101.71,-8.31869,-736.116
48,-179.665,-179.565,-120.491,34.4883,18321.4,1348.05,33.6081,-1122.68,-8.52398,-746.157
48.5,-179.667,-179.563,-120.491,34.4832,18697,1371.44,33.4738,-1143.94,-8.72716,-756.424
49,-179.661,-179.561,-120.491,34.4781,19077.8,1395.21,33.3412,-1165.54,-8.93516,-766.84
49.5,-179.648,-179.558,-120.491,34.4728,19463.9,1419.37,33.2062,-1187.56,-9.15588,-777.321
50,-179.626,-179.555,-120.491,34.4674,19855.1,1443.92,33.0665,-1210.03,-9.39398,-787.821
50.5,-179.597,-179.552,-120.491,34.4619,20251.7,1468.89,32.9239,-1232.93,-9.64651,-798.376
51,-179.56,-179.548,-120.491,34.4563,20653.5,1494.27,32.777,-1256.32,-9.91737,-808.953
51.5,-179.512,-179.543,-120.491,34.4506,21060.6,1520.07,32.6245,-1280.2,-10.2115,-819.518
52,-179.471,-179.538,-120.492,34.4448,21473,1546.31,32.4672,-1304.58,-10.5305,-830.087
52.5,-179.438,-179.531,-120.492,34.4389,21890.7,1572.99,32.3068,-1329.45,-10.8715,-840.691
53,-179.414,-179.525,-120.492,34.4329,22313.7,1600.13,32.1441,-1354.8,-11.2336,-851.346
53.5,-179.398,-179.518,-120.492,34.4267,22742,1627.71,31.9786,-1380.65,-11.6184,-862.041
54,-179.389,-179.511,-120.492,34.4205,23175.8,1655.77,31.8142,-1406.96,-12.0168,-872.868
54.5,-179.389,-179.504,-120.492,34.4141,23614.9,1684.31,31.6537,-1433.69,-12.4215,-883.899
55,-179.397,-179.497,-120.492,34.4076,24059.7,1713.34,31.5003,-1460.8,-12.8238,-895.223
55.5,-179.413,-179.491,-120.492,34.401,24510.2,1742.87,31.3535,-1488.3,-13.2239,-906.842
56,-179.437,-179.485,-120.492,34.3942,24966.6,1772.9,31.2137,-1516.2,-13.6203,-918.774
56.5,-179.468,-179.48,-120.492,34.3873,25429,1803.46,31.0821,-1544.47,-14.0085,-931.066
57,-179.505,-179.476,-120.492,34.3803,25897.7,1834.54,30.9598,-1573.1,-14.3844,-943.754
57.5,-179.536,-179.473,-120.492,34.3732,26372.8,1866.14,30.8461,-1602.1,-14.748,-956.835
58,-179.559,-179.47,-120.492,34.366,26854.6,1898.29,30.7396,-1631.51,-15.103,-970.283
58.5,-179.574,-179.467,-120.492,34.3586,27343.1,1930.98,30.6386,-1661.34,-15.4533,-984.071
59,-179.582,-179.465,-120.493,34.351,27838.7,1964.24,30.542,-1691.64,-15.8031,-998.169
59.5,-179.582,-179.463,-120.493,34.3434,28341.3,1998.08,30.4488,-1722.43,-16.155,-1012.56
60,-179.574,-179.46,-120.493,34.3356,28851.3,2032.51,30.3568,-1753.77,-16.5163,-1027.2
60.5,-179.559,-179.458,-120.493,34.3276,29368.6,2067.55,30.2651,-1785.67,-16.8904,-1042.05
61,-179.537,-179.454,-120.493,34.3196,29890.7,2074.83,30.1638,-1793.8,-17.0798,-1042.55
61.5,-179.508,-179.45,-120.493,34.3116,30410.7,2070.99,30.0581,-1792.4,-17.1937,-1037.31
62,-179.472,-179.446,-120.493,34.3035,30928,2067.28,29.9513,-1791.11,-17.3103,-1032.12
62.5,-179.429,-179.442,-120.493,34.2955,31442.8,2063.67,29.843,-1789.92,-17.4285,-1026.93
63,-179.387,-179.438,-120.493,34.2875,31955,2060.16,29.7332,-1788.84,-17.5554,-1021.76
63.5,-179.349,-179.433,-120.493,34.2794,32464.5,2056.75,29.6227,-1787.84,-17.6842,-1016.62
64,-179.317,-179.429,-120.493,34.2714,32971.6,2053.42,29.5117,-1786.91,-17.8145,-1011.52
64.5,-179.289,-179.424,-120.494,34.2634,33476,2050.17,29.4001,-1786.05,-17.9458,-1006.44
65,-179.266,-179.42,-120.494,34.2554,33978,2047,29.2882,-1785.24,-18.0777,-1001.4
65.5,-179.247,-179.415,-120.494,34.2474,34477.4,2043.9,29.1759,-1784.49,-18.2099,-996.387
66,-179.231,-179.411,-120.494,34.2394,34974.4,2040.86,29.0634,-1783.79,-18.3422,-991.404
66.5,-179.219,-179.406,-120.494,34.2314,35468.8,2037.89,28.9506,-1783.13,-18.4743,-986.45
67,-179.209,-179.402,-120.494,34.2234,35960.8,2034.96,28.8376,-1782.51,-18.6061,-981.522
67.5,-179.203,-179.398,-120.494,34.2154,36450.3,2032.09,28.7245,-1781.92,-18.7374,-976.62
68,-179.2,-179.393,-120.494,34.2075,36937.4,2029.27,28.6112,-1781.37,-18.8682,-971.742
68.5,-179.198,-179.389,-120.494,34.1995,37422.1,2026.49,28.4978,-1780.85,-18.9984,-966.887
69,-179.2,-179.384,-120.494,34.1915,37904.3,2023.75,28.3842,-1780.35,-19.128,-962.053
69.5,-179.203,-179.38,-120.495,34.1835,38384.1,2021.05,28.2705,-1779.88,-19.2569,-957.238
70,-179.208,-179.376,-120.495,34.1755,38861.5,2018.39,28.1566,-1779.43,-19.3852,-952.443
70.5,-179.216,-179.372,-120.495,34.1676,39336.5,2015.76,28.0426,-1779,-19.5128,-947.665
71,-179.225,-179.367,-120.495,34.1596,39809.2,2013.16,27.9285,-1778.59,-19.6397,-942.903
71.5,-179.235,-179.363,-120.495,34.1516,40279.4,2010.6,27.8142,-1778.2,-19.7661,-938.156
72,-179.248,-179.359,-120.495,34.1437,40747.3,2008.06,27.6997,-1777.82,-19.8917,-933.423
72.5,-179.261,-179.355,-120.495,34.1357,41212.8,2005.55,27.5851,-1777.46,-20.0168,-928.703
73,-179.277,-179.351,-120.495,34.1278,41676,2003.07,27.4703,-1777.11,-20.1414,-923.994
73.5,-179.294,-179.347,-120.495,34.1198,42136.8,2000.61,27.3554,-1776.78,-20.2654,-919.297
74,-179.312,-179.342,-120.496,34.1118,42595.3,1998.18,27.2402,-1776.45,-20.389,-914.609
74.5,-179.332,-179.338,-120.496,34.1039,43051.4,1995.76,27.1249,-1776.14,-20.5132,-909.932
75,-179.355,-179.334,-120.496,34.0959,43505.2,1993.37,27.0095,-1775.84,-20.6352,-905.267
75.5,-179.376,-179.33,-120.496,34.088,43956.7,1991,26.8939,-1775.55,-20.7566,-900.609
76,-179.397,-179.326,-120.496,34.08,44405.8,1988.65,26.7781,-1775.26,-20.8776,-895.958
76.5,-179.418,-179.322,-120.496,34.0721,44852.6,1986.32,26.662,-1774.99,-20.9982,-891.313
77,-179.437,-179.318,-120.496,34.0642,45297.1,1984,26.5457,-1774.72,-21.1184,-886.674
77.5,-179.456,-179.314,-120.496,34.0562,45739.3,1981.71,26.4292,-1774.46,-21.2382,-882.041
78,-179.474,-179.31,-120.496,34.0483,46179.1,1979.43,26.3125,-1774.21,-21.3577,-877.412
78.5,-179.492,-179.306,-120.497,34.0403,46616.7,1977.16,26.1955,-1773.96,-21.4768,-872.788
79,-179.508,-179.302,-120.497,34.0324,47051.9,1974.91,26.0782,-1773.73,-21.5956,-868.168
79.5,-179.524,-179.299,-120.497,34.0245,47484.8,1972.68,25.9608,-1773.49,-21.7142,-863.552
