1,input_ballistic.asc,Three-stage,rocket,ascent
0,0,20,,
time,psibdx,thtbdx,phibdx,alppx
phipx,alphax,betax,qqx,lonx
latx,alt,dvbe,dvbi,psivdx
thtvdx,SBII1,SBII2,SBII3,grndtrck
48.4932,-2.66534e+06,-4.52665e+06,3.60863e+06,1560.63
15,-180,56.3146,0,7.73728
0,7.87552,-4.02644e-13,-1.00196,-120.49
34.6649,1962.4,338.631,338.631,-180
48.4385,-2.66542e+06,-4.52679e+06,3.60861e+06,1671.01
15.5,-180,55.7896,1.70755e-06,7.2839
0,7.4244,-4.2411e-13,-1.10535,-120.49
34.6639,2091.1,349.756,349.756,-180
48.3644,-2.66551e+06,-4.52694e+06,3.60859e+06,1785.24
16,-180,55.2114,1.20742e-06,6.79595
0,6.94142,-4.20266e-13,-1.21492,-120.49
34.6628,2223.77,360.803,360.803,-180
48.2689,-2.6656e+06,-4.52709e+06,3.60857e+06,1903.35
16.5,-180,54.5769,2.56132e-06,6.27324
0,6.42553,-3.86662e-13,-1.33073,-120.49
34.6617,2360.33,371.813,371.813,-180
48.1501,-2.66569e+06,-4.52725e+06,3.60855e+06,2025.37
17,-180,53.8831,2.69987e-06,5.71427
0,5.87584,-3.82269e-13,-1.45286,-120.49
34.6606,2500.7,382.784,382.784,-180
48.0056,-2.66578e+06,-4.52741e+06,3.60853e+06,2151.37
17.5,-180,53.1266,3.07832e-06,5.11559
0,5.28994,-3.84397e-13,-1.58135,-120.49
34.6594,2644.78,393.711,393.711,-180
47.8348,-2.66588e+06,-4.52757e+06,3.6085e+06,2281.42
18,-180,52.3043,3.62225e-06,4.47214
0,4.6666,-4.03385e-13,-1.71624,-120.49
34.6582,2792.49,404.637,404.637,-180
47.6356,-2.66598e+06,-4.52774e+06,3.60847e+06,2415.61
18.5,-180,51.4131,4.00455e-06,3.78004
0,4.00455,-3.83325e-13,-1.85764,-120.49
34.657,2943.73,415.662,415.662,-180
47.4061,-2.66608e+06,-4.52792e+06,3.60845e+06,2554.04
19,-180,50.4496,4.67631e-06,3.02929
0,3.30105,-3.65684e-13,-2.00566,-120.49
34.6557,3098.46,426.796,426.796,-180
47.1458,-2.66619e+06,-4.5281e+06,3.60842e+06,2696.88
19.5,-180,49.4104,5.26301e-06,2.19846
0,2.55498,-3.43957e-13,-2.16044,-120.49
34.6544,3256.58,438.047,438.047,-180
46.8523,-2.6663e+06,-4.52828e+06,3.60839e+06,2844.27
20,-180,48.2923,5.91512e-06,1.20294
0,1.76558,-3.36008e-13,-2.32209,-120.49
34.653,3418.02,449.419,449.419,-180
46.5232,-2.66641e+06,-4.52847e+06,3.60835e+06,2996.39
20.5,-180,47.0916,6.77662e-06,0
0,0.934708,-3.42863e-13,-2.49074,-120.49
34.6516,3582.66,460.909,460.909,-180
