lonx,latx,alt
-120.492,34.3553,1715.7
-120.492,34.3548,1563.18
-120.492,34.3543,1410.73
-120.492,34.3538,1258.36
-120.492,34.3534,1106.08
-120.492,34.3529,953.901
-120.492,34.3524,801.818
-120.492,34.3519,649.84
-120.492,34.3515,497.974
-120.492,34.3511,346.225
-120.492,34.3506,194.597
-120.492,34.3502,43.0954
-120.492,34.3501,-0.815648
